BL,N,WS,rdMemoryCount,rlCount,rlHitCount,rlMissCount,rlMissDirtyCount,Total Bytes Read, ,writeMemoryCount,wlCount,wlMissCount,wlHitCount,wlMissDirtyCount,writeThroughCount,Total bytes written,,Flush Cache Count
1,1,0,20362364,20362364,19579398,782966,9039,81449456, ,5856511,5856511,33268,5823243,8389,0,23426044, ,16215,
1,1,1,20362364,20362364,19579398,782966,0,81449456, ,5856511,5856511,33268,5823243,0,5856511,23426044, ,0,
1,1,2,20362364,20362364,19562525,799839,0,81449456, ,5856511,5856511,0,5822989,0,5856511,23426044, ,0,
2,1,0,20362364,20362364,19941523,420841,12821,81449456, ,5856511,5856511,17310,5839201,4418,0,23426044, ,8107,
2,1,1,20362364,20362364,19941523,420841,0,81449456, ,5856511,5856511,17310,5839201,0,5856511,23426044, ,0,
2,1,2,20362364,20362364,19932989,429375,0,81449456, ,5856511,5856511,0,5839327,0,5856511,23426044, ,0,
4,1,0,20362364,20362364,20130828,231536,14977,81449456, ,5856511,5856511,9363,5847148,2370,0,23426044, ,4052,
4,1,1,20362364,20362364,20130828,231536,0,81449456, ,5856511,5856511,9363,5847148,0,5856511,23426044, ,0,
4,1,2,20362364,20362364,20126305,236059,0,81449456, ,5856511,5856511,0,5847335,0,5856511,23426044, ,0,
8,1,0,20362364,20362364,20224818,137546,16463,81449456, ,5856511,5856511,5737,5850774,1350,0,23426044, ,2025,
8,1,1,20362364,20362364,20224818,137546,0,81449456, ,5856511,5856511,5737,5850774,0,5856511,23426044, ,0,
8,1,2,20362364,20362364,20221961,140403,0,81449456, ,5856511,5856511,0,5850989,0,5856511,23426044, ,0,
1,2,0,20362364,20362364,19314141,1048223,12680,81449456, ,5856511,5856511,33156,5823355,8386,0,23426044, ,12181,
1,2,1,20362364,20362364,19314141,1048223,0,81449456, ,5856511,5856511,33156,5823355,0,5856511,23426044, ,0,
1,2,2,20362364,20362364,19301407,1060957,0,81449456, ,5856511,5856511,0,5823099,0,5856511,23426044, ,0,
